experiment,measured_metric,mean,std
VZ,PRECISION,0.9653474400000001,0.005713003483842797
IR,PRECISION,0.9653076,0.0053580753260849025
HY,PRECISION,0.9631532799999999,0.006288381995521585
VZ,RECALL,0.94011504,0.006020510891809777
IR,RECALL,0.9393700000000001,0.006572092975605259
HY,RECALL,0.93689264,0.007842546641901467
VZ,mAP50,0.9669437599999999,0.003850349067604138
IR,mAP50,0.9662004000000001,0.005876981238697301
HY,mAP50,0.9644097600000001,0.005753011269100735
VZ,mAP50_95,0.6019652,0.009490038415096108
IR,mAP50_95,0.60149128,0.009574270551932386
HY,mAP50_95,0.59602312,0.011100253864916788
VZ,PRECISION,0.9653474400000001,0.005713003483842797
IR,PRECISION,0.9653076,0.0053580753260849025
HY,PRECISION,0.9631532799999999,0.006288381995521585
VZ,RECALL,0.94011504,0.006020510891809777
IR,RECALL,0.9393700000000001,0.006572092975605259
HY,RECALL,0.93689264,0.007842546641901467
VZ,mAP50,0.9669437599999999,0.003850349067604138
IR,mAP50,0.9662004000000001,0.005876981238697301
HY,mAP50,0.9644097600000001,0.005753011269100735
VZ,mAP50_95,0.6019652,0.009490038415096108
IR,mAP50_95,0.60149128,0.009574270551932386
HY,mAP50_95,0.59602312,0.011100253864916788
