implementation,measured_metric,friedman_p,wilcoxon_p_1v2,wilcoxon_p_2v3,wilcoxon_p_1v3,hommel_p_1v2,hommel_p_2v3,hommel_p_1v3
scipy,PRECISION,0.2026061711071128,0.91015625,0.13525390625,0.17535400390625,-1.0,-1.0,-1.0
r,PRECISION,0.2026061711071116,0.8589549227374824,0.1240427930900948,0.1626733150719467,0.8589549227374824,0.2480855861801896,0.3253466301438934
pinguoin,PRECISION,0.20260617110711154,0.9056954420343094,0.13190409490501084,0.17059877159662906,-1.0,-1.0,-1.0
stac,PRECISION,0.4106983819378067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
statsmodels_scipy,PRECISION,-1.0,-1.0,-1.0,-1.0,0.91015625,0.2705078125,0.3507080078125
statsmodels_pinguoin,PRECISION,-1.0,-1.0,-1.0,-1.0,0.9056954420343094,0.2638081898100217,0.3411975431932581
scipy,RECALL,0.07071321499858617,1.0,0.0784912109375,0.104583740234375,-1.0,-1.0,-1.0
r,RECALL,0.070713214998585,1.0,0.0735939238114404,0.0979893027079174,1.0,0.1471878476228809,0.1959786054158348
pinguoin,RECALL,0.07071321499858503,1.0,0.07879150356435267,0.10334981166168138,-1.0,-1.0,-1.0
stac,RECALL,0.22419823770680702,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
statsmodels_scipy,RECALL,-1.0,-1.0,-1.0,-1.0,1.0,0.156982421875,0.20916748046875
statsmodels_pinguoin,RECALL,-1.0,-1.0,-1.0,-1.0,1.0,0.15758300712870535,0.20669962332336275
scipy,mAP50,0.057288858093043835,1.0,0.0784912109375,0.065399169921875,-1.0,-1.0,-1.0
r,mAP50,0.0572888580930433,0.9527650219907529,0.0735939238114404,0.0626713878689624,0.9527650219907529,0.1471878476228809,0.1253427757379249
pinguoin,mAP50,0.05728885809304335,1.0,0.07879150356435267,0.06640776501248748,-1.0,-1.0,-1.0
stac,mAP50,0.19826629421234276,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
statsmodels_scipy,mAP50,-1.0,-1.0,-1.0,-1.0,1.0,0.156982421875,0.13079833984375
statsmodels_pinguoin,mAP50,-1.0,-1.0,-1.0,-1.0,1.0,0.15758300712870535,0.13281553002497495
scipy,mAP50_95,0.013123728736940987,1.0,0.0579833984375,0.065399169921875,-1.0,-1.0,-1.0
r,mAP50_95,0.013123728736941,0.9527650219907529,0.0555329808159427,0.0626713878689624,0.9527650219907529,0.1110659616318854,0.1253427757379249
pinguoin,mAP50_95,0.013123728736940957,1.0,0.059660473562314305,0.06640776501248748,-1.0,-1.0,-1.0
stac,mAP50_95,0.08235849337309464,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
statsmodels_scipy,mAP50_95,-1.0,-1.0,-1.0,-1.0,1.0,0.115966796875,0.13079833984375
statsmodels_pinguoin,mAP50_95,-1.0,-1.0,-1.0,-1.0,1.0,0.11932094712462861,0.13281553002497495
